epoc (ms),timestamp (-0700),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1610125506740,2021-01-08T10.05.06.740,0.000,0.061,0.000,-0.305
1610125506750,2021-01-08T10.05.06.750,0.010,0.000,-0.244,-0.549
1610125506760,2021-01-08T10.05.06.760,0.020,0.122,-0.244,-0.305
1610125506769,2021-01-08T10.05.06.769,0.029,0.061,-0.122,-0.244
1610125506780,2021-01-08T10.05.06.780,0.040,0.183,-0.183,-0.244
1610125506790,2021-01-08T10.05.06.790,0.050,0.305,-0.183,-0.305
1610125506800,2021-01-08T10.05.06.800,0.060,0.183,-0.244,-0.427
1610125506809,2021-01-08T10.05.06.809,0.069,-0.183,-0.183,-0.427
1610125506819,2021-01-08T10.05.06.819,0.079,0.061,-0.122,-0.305
1610125506829,2021-01-08T10.05.06.829,0.089,0.427,-0.122,-0.305
1610125506840,2021-01-08T10.05.06.840,0.100,0.366,-0.183,-0.305
1610125506848,2021-01-08T10.05.06.848,0.108,0.000,-0.122,-0.366
1610125506859,2021-01-08T10.05.06.859,0.119,-0.122,-0.122,-0.305
1610125506869,2021-01-08T10.05.06.869,0.129,0.061,-0.122,-0.305
1610125506879,2021-01-08T10.05.06.879,0.139,0.244,-0.183,-0.305
1610125506888,2021-01-08T10.05.06.888,0.148,0.305,-0.122,-0.305
1610125506898,2021-01-08T10.05.06.898,0.158,0.061,-0.183,-0.305
1610125506908,2021-01-08T10.05.06.908,0.168,-0.122,-0.183,-0.244
1610125506919,2021-01-08T10.05.06.919,0.179,0.000,-0.122,-0.305
1610125506927,2021-01-08T10.05.06.927,0.187,0.244,-0.122,-0.305
1610125506938,2021-01-08T10.05.06.938,0.198,0.305,-0.244,-0.244
1610125506948,2021-01-08T10.05.06.948,0.208,0.122,-0.183,-0.366
1610125506958,2021-01-08T10.05.06.958,0.218,0.061,-0.122,-0.366
1610125506967,2021-01-08T10.05.06.967,0.227,0.183,-0.122,-0.244
1610125506977,2021-01-08T10.05.06.977,0.237,0.366,-0.183,-0.366
