,yaw
599,0
600,0
601,0.001871
602,0.022651
603,0.065839
604,0.1301
605,0.21347
606,0.31336
607,0.42671
608,0.55001
609,0.67948
610,0.81111
611,0.94087
612,1.0647
613,1.1789
614,1.2799
615,1.3645
616,1.4302
617,1.475
618,1.4974
619,1.4968
620,1.4732
621,1.4273
622,1.3605
623,1.2749
624,1.1732
625,1.0584
626,0.93414
627,0.80418
628,0.67256
629,0.54332
630,0.42044
631,0.30773
632,0.20863
633,0.12622
634,0.063019
635,0.020986
636,0.0014122
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0.00052917
702,0.0097792
703,0.030281
704,0.061402
705,0.10219
706,0.15137
707,0.20745
708,0.26869
709,0.3332
710,0.39901
711,0.46407
712,0.52639
713,0.58404
714,0.63526
715,0.67845
716,0.7123
717,0.73576
718,0.7481
719,0.74895
720,0.73827
721,0.71641
722,0.68403
723,0.64212
724,0.59199
725,0.53517
726,0.47342
727,0.40864
728,0.34282
729,0.27799
730,0.21615
731,0.1592
732,0.1089
733,0.066803
734,0.034198
735,0.012092
736,0.0011664
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,-9.51E-05
802,-0.0033379
803,-0.011099
804,-0.02314
805,-0.039088
806,-0.058454
807,-0.08064
808,-0.10496
809,-0.13067
810,-0.15698
811,-0.18307
812,-0.20814
813,-0.23142
814,-0.25219
815,-0.26982
816,-0.28375
817,-0.29356
818,-0.29895
819,-0.29975
820,-0.29594
821,-0.28763
822,-0.27508
823,-0.25868
824,-0.23893
825,-0.21644
826,-0.1919
827,-0.16607
828,-0.13975
829,-0.11374
830,-0.088849
831,-0.065843
832,-0.045429
833,-0.028237
834,-0.014796
835,-0.0055209
836,-0.00069656
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,1.64E-05
902,0.0018728
903,0.0067523
904,0.014505
905,0.024891
906,0.037591
907,0.052214
908,0.068309
909,0.08538
910,0.1029
911,0.12033
912,0.13714
913,0.1528
914,0.16684
915,0.17881
916,0.18836
917,0.19519
918,0.19908
919,0.19992
