10Hz,YAW,THRESHOLDS_0.5HZ_GAP6S_100TRIALS_20193281550_1.CSV,,
0,0,
100,0,,,,,,,,,
200,0,,,,,,,,,
300,0,,,,,,,,,
400,0.0114,,,,,,,,,
500,0.0229,,,,,,,,,
600,0.0344,,,,,,,,,
700,0.0458,,,,,,,,,
800,0.0458,,,,,,,,,
900,0.0572,,,,,,,,,
1000,0.0458,,,,,,,,,
1100,0.0458,,,,,,,,,
1200,0.0379,,,,,,,,,
1300,0.0458,,,,,,,,,
1400,0.0458,,,,,,,,,
1500,0.0343,,,,,,,,,
1600,0.0229,,,,,,,,,
1700,0.0114,,,,,,,,,
1800,0,,,,,,,,,
1900,0,,,,,,,,,
2000,0,,,,,,,,,
2100,0.0114,,,,,,,,,
2200,0.0114,,,,,,,,,
2300,0.0114,,,,,,,,,
2400,0,,,,,,,,,
2500,0,,,,,,,,,
2600,0,,,,,,,,,
2700,0,,,,,,,,,
2800,0,,,,,,,,,
2900,0.0114,,,,,,,,,
3000,0,,,,,,,,,
3100,0,,,,,,,,,
3200,0,,,,,,,,,
3300,-0.0115,,,,,,,,,
3400,0,,,,,,,,,
3500,0,,,,,,,,,
3600,0,,,,,,,,,
3700,0.0114,,,,,,,,,
3800,0,,,,,,,,,
3900,0.0114,,,,,,,,,
4000,0,,,,,,,,,
4100,-0.0114,,,,,,,,,
4200,0,,,,,,,,,
4300,0,,,,,,,,,
4400,-0.0114,,,,,,,,,
4500,0,,,,,,,,,
4600,-0.0115,,,,,,,,,
4700,0,,,,,,,,,
4800,0.0114,,,,,,,,,
4900,0,,,,,,,,,
5000,-0.0114,,,,,,,,,
5100,-0.0114,,,,,,,,,
5200,0,,,,,,,,,
5300,0,,,,,,,,,
5400,0,,,,,,,,,
5500,0,,,,,,,,,
5600,-0.0114,,,,,,,,,
5700,0,,,,,,,,,
5800,0.0114,,,,,,,,,
5900,0,,,,,,,,,
6000,0,,,,,,,,,
6100,0,,,,,,,,,
6200,0,,,,,,,,,
6300,0.0114,,,,,,,,,
6400,0,,,,,,,,,
6500,0.0114,,,,,,,,,
6600,0,,,,,,,,,
6700,0.0114,,,,,,,,,
6800,-0.0114,,,,,,,,,
6900,-0.0114,,,,,,,,,
7000,0,,,,,,,,,
