epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1610813037696,2021-01-16T09.03.57.696,0.000,-0.019,0.057,1.001
1610813037706,2021-01-16T09.03.57.706,0.010,-0.021,0.062,1.010
1610813037715,2021-01-16T09.03.57.715,0.019,-0.020,0.060,1.007
1610813037725,2021-01-16T09.03.57.725,0.029,-0.020,0.058,1.008
1610813037735,2021-01-16T09.03.57.735,0.039,-0.021,0.060,1.011
1610813037745,2021-01-16T09.03.57.745,0.049,-0.019,0.058,1.010
1610813037756,2021-01-16T09.03.57.756,0.060,-0.020,0.059,1.007
1610813037765,2021-01-16T09.03.57.765,0.069,-0.020,0.060,1.003
1610813037775,2021-01-16T09.03.57.775,0.079,-0.020,0.059,1.008
1610813037785,2021-01-16T09.03.57.785,0.089,-0.020,0.061,1.007
1610813037795,2021-01-16T09.03.57.795,0.099,-0.020,0.060,1.007
1610813037804,2021-01-16T09.03.57.804,0.108,-0.020,0.060,1.006
1610813037814,2021-01-16T09.03.57.814,0.118,-0.020,0.060,1.008
1610813037825,2021-01-16T09.03.57.825,0.129,-0.020,0.061,1.005
1610813037835,2021-01-16T09.03.57.835,0.139,-0.022,0.058,1.006
1610813037844,2021-01-16T09.03.57.844,0.148,-0.019,0.056,1.009
1610813037854,2021-01-16T09.03.57.854,0.158,-0.020,0.060,1.009
1610813037864,2021-01-16T09.03.57.864,0.168,-0.021,0.060,1.008
1610813037874,2021-01-16T09.03.57.874,0.178,-0.019,0.058,1.006
1610813037883,2021-01-16T09.03.57.883,0.187,-0.021,0.059,1.008
1610813037893,2021-01-16T09.03.57.893,0.197,-0.018,0.061,1.010
1610813037904,2021-01-16T09.03.57.904,0.208,-0.019,0.058,1.009
1610813037914,2021-01-16T09.03.57.914,0.218,-0.021,0.057,1.006
1610813037923,2021-01-16T09.03.57.923,0.227,-0.021,0.059,1.006
1610813037933,2021-01-16T09.03.57.933,0.237,-0.018,0.059,1.008
1610813037943,2021-01-16T09.03.57.943,0.247,-0.021,0.060,1.006
1610813037953,2021-01-16T09.03.57.953,0.257,-0.020,0.058,1.006
1610813037964,2021-01-16T09.03.57.964,0.268,-0.019,0.058,1.007
1610813037973,2021-01-16T09.03.57.973,0.277,-0.019,0.059,1.008
1610813037983,2021-01-16T09.03.57.983,0.287,-0.018,0.058,1.008
1610813037993,2021-01-16T09.03.57.993,0.297,-0.019,0.058,1.007
1610813038003,2021-01-16T09.03.58.003,0.307,-0.021,0.058,1.005
1610813038012,2021-01-16T09.03.58.012,0.316,-0.019,0.060,1.007
1610813038022,2021-01-16T09.03.58.022,0.326,-0.018,0.059,1.009
1610813038033,2021-01-16T09.03.58.033,0.337,-0.019,0.059,1.008
1610813038043,2021-01-16T09.03.58.043,0.347,-0.018,0.059,1.009
1610813038052,2021-01-16T09.03.58.052,0.356,-0.020,0.058,1.008
1610813038062,2021-01-16T09.03.58.062,0.366,-0.018,0.059,1.005
1610813038072,2021-01-16T09.03.58.072,0.376,-0.018,0.058,1.008
