epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1610125506730,2021-01-08T10.05.06.730,0.000,0.031,-0.099,0.992
1610125506740,2021-01-08T10.05.06.740,0.010,0.035,-0.099,0.996
1610125506750,2021-01-08T10.05.06.750,0.020,0.034,-0.098,0.997
1610125506760,2021-01-08T10.05.06.760,0.030,0.030,-0.100,0.993
1610125506769,2021-01-08T10.05.06.769,0.039,0.034,-0.101,0.993
1610125506780,2021-01-08T10.05.06.780,0.050,0.033,-0.101,0.995
1610125506790,2021-01-08T10.05.06.790,0.060,0.033,-0.101,0.997
1610125506800,2021-01-08T10.05.06.800,0.070,0.030,-0.100,0.998
1610125506809,2021-01-08T10.05.06.809,0.079,0.030,-0.099,0.996
1610125506819,2021-01-08T10.05.06.819,0.089,0.032,-0.098,0.996
1610125506829,2021-01-08T10.05.06.829,0.099,0.032,-0.099,0.993
1610125506840,2021-01-08T10.05.06.840,0.110,0.031,-0.099,0.995
1610125506848,2021-01-08T10.05.06.848,0.118,0.032,-0.099,0.994
1610125506859,2021-01-08T10.05.06.859,0.129,0.034,-0.100,0.994
1610125506869,2021-01-08T10.05.06.869,0.139,0.034,-0.099,0.997
1610125506879,2021-01-08T10.05.06.879,0.149,0.033,-0.100,0.999
1610125506888,2021-01-08T10.05.06.888,0.158,0.032,-0.096,0.999
1610125506898,2021-01-08T10.05.06.898,0.168,0.032,-0.098,0.995
1610125506908,2021-01-08T10.05.06.908,0.178,0.030,-0.100,0.993
1610125506919,2021-01-08T10.05.06.919,0.189,0.034,-0.099,0.991
1610125506927,2021-01-08T10.05.06.927,0.197,0.036,-0.099,0.994
1610125506938,2021-01-08T10.05.06.938,0.208,0.033,-0.099,0.997
1610125506948,2021-01-08T10.05.06.948,0.218,0.032,-0.101,0.997
1610125506958,2021-01-08T10.05.06.958,0.228,0.030,-0.099,0.995
1610125506967,2021-01-08T10.05.06.967,0.237,0.030,-0.097,0.993
1610125506977,2021-01-08T10.05.06.977,0.247,0.031,-0.100,0.992
1610125506988,2021-01-08T10.05.06.988,0.258,0.032,-0.101,0.993
1610125506998,2021-01-08T10.05.06.998,0.268,0.030,-0.096,0.995
1610125507008,2021-01-08T10.05.07.008,0.278,0.032,-0.100,0.996
1610125507017,2021-01-08T10.05.07.017,0.287,0.032,-0.101,0.996
1610125507027,2021-01-08T10.05.07.027,0.297,0.032,-0.101,0.994
1610125507037,2021-01-08T10.05.07.037,0.307,0.032,-0.100,0.997
1610125507048,2021-01-08T10.05.07.048,0.318,0.034,-0.101,0.998
1610125507056,2021-01-08T10.05.07.056,0.326,0.035,-0.100,0.996
1610125507067,2021-01-08T10.05.07.067,0.337,0.033,-0.098,0.994
1610125507077,2021-01-08T10.05.07.077,0.347,0.034,-0.099,0.993
1610125507087,2021-01-08T10.05.07.087,0.357,0.033,-0.099,0.997
1610125507096,2021-01-08T10.05.07.096,0.366,0.031,-0.098,0.993
1610125507106,2021-01-08T10.05.07.106,0.376,0.031,-0.097,0.992
1610125507116,2021-01-08T10.05.07.116,0.386,0.033,-0.100,0.995
1610125507127,2021-01-08T10.05.07.127,0.397,0.031,-0.099,0.996
1610125507135,2021-01-08T10.05.07.135,0.405,0.032,-0.098,0.995
1610125507146,2021-01-08T10.05.07.146,0.416,0.028,-0.099,0.992
1610125507156,2021-01-08T10.05.07.156,0.426,0.033,-0.102,0.993
1610125507166,2021-01-08T10.05.07.166,0.436,0.035,-0.102,0.995
1610125507175,2021-01-08T10.05.07.175,0.445,0.034,-0.102,0.997
1610125507185,2021-01-08T10.05.07.185,0.455,0.033,-0.100,0.995
1610125507196,2021-01-08T10.05.07.196,0.466,0.033,-0.098,0.996
1610125507206,2021-01-08T10.05.07.206,0.476,0.032,-0.098,0.995
1610125507215,2021-01-08T10.05.07.215,0.485,0.033,-0.098,0.994
1610125507225,2021-01-08T10.05.07.225,0.495,0.032,-0.100,0.997
1610125507235,2021-01-08T10.05.07.235,0.505,0.034,-0.098,0.993
1610125507245,2021-01-08T10.05.07.245,0.515,0.034,-0.101,0.996
1610125507254,2021-01-08T10.05.07.254,0.524,0.033,-0.098,0.996
1610125507264,2021-01-08T10.05.07.264,0.534,0.032,-0.100,0.996
1610125507275,2021-01-08T10.05.07.275,0.545,0.032,-0.100,0.996
1610125507285,2021-01-08T10.05.07.285,0.555,0.035,-0.100,0.995
1610125507294,2021-01-08T10.05.07.294,0.564,0.032,-0.098,0.995
1610125507304,2021-01-08T10.05.07.304,0.574,0.032,-0.100,0.997
1610125507314,2021-01-08T10.05.07.314,0.584,0.032,-0.101,0.997
1610125507324,2021-01-08T10.05.07.324,0.594,0.031,-0.099,0.995
1610125507335,2021-01-08T10.05.07.335,0.605,0.031,-0.100,0.998
1610125507343,2021-01-08T10.05.07.343,0.613,0.034,-0.097,0.998
1610125507354,2021-01-08T10.05.07.354,0.624,0.035,-0.100,0.994
1610125507364,2021-01-08T10.05.07.364,0.634,0.033,-0.101,0.994
1610125507374,2021-01-08T10.05.07.374,0.644,0.030,-0.098,0.994
1610125507383,2021-01-08T10.05.07.383,0.653,0.029,-0.101,0.996
1610125507393,2021-01-08T10.05.07.393,0.663,0.033,-0.100,0.998
1610125507404,2021-01-08T10.05.07.404,0.674,0.033,-0.100,0.999
1610125507414,2021-01-08T10.05.07.414,0.684,0.031,-0.098,0.999
1610125507423,2021-01-08T10.05.07.423,0.693,0.033,-0.097,0.997
1610125507433,2021-01-08T10.05.07.433,0.703,0.032,-0.100,0.997
1610125507443,2021-01-08T10.05.07.443,0.713,0.033,-0.100,0.995
1610125507453,2021-01-08T10.05.07.453,0.723,0.033,-0.099,0.994
1610125507462,2021-01-08T10.05.07.462,0.732,0.032,-0.098,0.993
1610125507472,2021-01-08T10.05.07.472,0.742,0.031,-0.101,0.999
1610125507483,2021-01-08T10.05.07.483,0.753,0.033,-0.101,0.997
1610125507493,2021-01-08T10.05.07.493,0.763,0.033,-0.098,0.995
1610125507502,2021-01-08T10.05.07.502,0.772,0.030,-0.098,0.993
1610125507512,2021-01-08T10.05.07.512,0.782,0.032,-0.100,0.993
1610125507522,2021-01-08T10.05.07.522,0.792,0.033,-0.098,0.997
1610125507532,2021-01-08T10.05.07.532,0.802,0.031,-0.099,0.995
1610125507541,2021-01-08T10.05.07.541,0.811,0.032,-0.100,0.998
1610125507551,2021-01-08T10.05.07.551,0.821,0.032,-0.100,0.997
1610125507562,2021-01-08T10.05.07.562,0.832,0.031,-0.098,0.996
1610125507572,2021-01-08T10.05.07.572,0.842,0.032,-0.099,0.995
1610125507582,2021-01-08T10.05.07.582,0.852,0.034,-0.101,0.995
1610125507591,2021-01-08T10.05.07.591,0.861,0.034,-0.098,0.992
1610125507601,2021-01-08T10.05.07.601,0.871,0.033,-0.100,0.994
1610125507612,2021-01-08T10.05.07.612,0.882,0.032,-0.099,0.996
1610125507620,2021-01-08T10.05.07.620,0.890,0.033,-0.101,1.000
1610125507631,2021-01-08T10.05.07.631,0.901,0.032,-0.102,0.997
1610125507641,2021-01-08T10.05.07.641,0.911,0.031,-0.100,0.994
1610125507651,2021-01-08T10.05.07.651,0.921,0.032,-0.102,0.994
1610125507661,2021-01-08T10.05.07.661,0.931,0.033,-0.101,0.996
1610125507670,2021-01-08T10.05.07.670,0.940,0.032,-0.098,0.994
1610125507680,2021-01-08T10.05.07.680,0.950,0.033,-0.098,0.996
1610125507691,2021-01-08T10.05.07.691,0.961,0.032,-0.100,0.997
1610125507701,2021-01-08T10.05.07.701,0.971,0.033,-0.101,0.999
1610125507710,2021-01-08T10.05.07.710,0.980,0.032,-0.098,0.998
1610125507720,2021-01-08T10.05.07.720,0.990,0.032,-0.097,0.993
1610125507730,2021-01-08T10.05.07.730,1.000,0.033,-0.101,0.994
1610125507740,2021-01-08T10.05.07.740,1.010,0.035,-0.102,0.996
