epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1610125507749,2021-01-08T10.05.07.749,1.019,0.033,-0.099,0.997
1610125507759,2021-01-08T10.05.07.759,1.029,0.032,-0.098,0.997
1610125507770,2021-01-08T10.05.07.770,1.040,0.032,-0.101,0.997
1610125507780,2021-01-08T10.05.07.780,1.050,0.033,-0.103,0.996
1610125507789,2021-01-08T10.05.07.789,1.059,0.034,-0.099,0.995
1610125507799,2021-01-08T10.05.07.799,1.069,0.032,-0.098,0.994
1610125507809,2021-01-08T10.05.07.809,1.079,0.032,-0.100,0.997
1610125507820,2021-01-08T10.05.07.820,1.090,0.032,-0.099,0.996
1610125507828,2021-01-08T10.05.07.828,1.098,0.033,-0.099,0.993
1610125507839,2021-01-08T10.05.07.839,1.109,0.031,-0.101,0.994
1610125507849,2021-01-08T10.05.07.849,1.119,0.033,-0.103,0.998
1610125507859,2021-01-08T10.05.07.859,1.129,0.035,-0.101,0.998
1610125507868,2021-01-08T10.05.07.868,1.138,0.033,-0.097,0.995
1610125507878,2021-01-08T10.05.07.878,1.148,0.033,-0.099,0.996
1610125507888,2021-01-08T10.05.07.888,1.158,0.033,-0.101,0.995
1610125507899,2021-01-08T10.05.07.899,1.169,0.031,-0.099,0.998
1610125507907,2021-01-08T10.05.07.907,1.177,0.033,-0.099,0.993
1610125507918,2021-01-08T10.05.07.918,1.188,0.033,-0.103,0.994
1610125507928,2021-01-08T10.05.07.928,1.198,0.031,-0.103,0.998
1610125507938,2021-01-08T10.05.07.938,1.208,0.033,-0.099,0.996
1610125507947,2021-01-08T10.05.07.947,1.217,0.032,-0.099,0.994
1610125507957,2021-01-08T10.05.07.957,1.227,0.031,-0.101,0.997
1610125507967,2021-01-08T10.05.07.967,1.237,0.033,-0.100,0.994
1610125507978,2021-01-08T10.05.07.978,1.248,0.034,-0.098,0.994
1610125507988,2021-01-08T10.05.07.988,1.258,0.030,-0.099,0.994
1610125507997,2021-01-08T10.05.07.997,1.267,0.034,-0.100,0.996
1610125508007,2021-01-08T10.05.08.007,1.277,0.034,-0.101,0.997
1610125508017,2021-01-08T10.05.08.017,1.287,0.031,-0.099,0.995
1610125508028,2021-01-08T10.05.08.028,1.298,0.032,-0.099,0.996
1610125508036,2021-01-08T10.05.08.036,1.306,0.033,-0.098,0.994
1610125508047,2021-01-08T10.05.08.047,1.317,0.032,-0.099,0.992
1610125508057,2021-01-08T10.05.08.057,1.327,0.032,-0.099,0.994
1610125508067,2021-01-08T10.05.08.067,1.337,0.029,-0.100,0.997
1610125508076,2021-01-08T10.05.08.076,1.346,0.031,-0.100,0.998
1610125508086,2021-01-08T10.05.08.086,1.356,0.032,-0.099,1.000
1610125508096,2021-01-08T10.05.08.096,1.366,0.032,-0.099,0.996
1610125508107,2021-01-08T10.05.08.107,1.377,0.035,-0.102,0.995
1610125508115,2021-01-08T10.05.08.115,1.385,0.033,-0.099,0.995
1610125508126,2021-01-08T10.05.08.126,1.396,0.032,-0.100,0.992
1610125508136,2021-01-08T10.05.08.136,1.406,0.033,-0.099,0.993
1610125508146,2021-01-08T10.05.08.146,1.416,0.033,-0.100,0.998
1610125508155,2021-01-08T10.05.08.155,1.425,0.032,-0.104,0.997
1610125508165,2021-01-08T10.05.08.165,1.435,0.031,-0.100,0.996
1610125508176,2021-01-08T10.05.08.176,1.446,0.029,-0.097,0.996
1610125508186,2021-01-08T10.05.08.186,1.456,0.033,-0.100,0.996
1610125508195,2021-01-08T10.05.08.195,1.465,0.033,-0.102,0.993
1610125508205,2021-01-08T10.05.08.205,1.475,0.034,-0.098,0.991
1610125508215,2021-01-08T10.05.08.215,1.485,0.034,-0.099,0.997
1610125508225,2021-01-08T10.05.08.225,1.495,0.032,-0.100,0.998
1610125508234,2021-01-08T10.05.08.234,1.504,0.033,-0.099,0.998
1610125508244,2021-01-08T10.05.08.244,1.514,0.034,-0.097,0.996
1610125508255,2021-01-08T10.05.08.255,1.525,0.035,-0.097,0.998
1610125508265,2021-01-08T10.05.08.265,1.535,0.033,-0.101,0.995
1610125508275,2021-01-08T10.05.08.275,1.545,0.031,-0.100,0.994
1610125508284,2021-01-08T10.05.08.284,1.554,0.032,-0.099,0.993
1610125508294,2021-01-08T10.05.08.294,1.564,0.033,-0.099,0.997
1610125508304,2021-01-08T10.05.08.304,1.574,0.034,-0.100,0.999
1610125508315,2021-01-08T10.05.08.315,1.585,0.033,-0.098,0.998
1610125508323,2021-01-08T10.05.08.323,1.593,0.030,-0.097,0.995
1610125508334,2021-01-08T10.05.08.334,1.604,0.031,-0.099,0.992
1610125508344,2021-01-08T10.05.08.344,1.614,0.032,-0.100,0.994
1610125508354,2021-01-08T10.05.08.354,1.624,0.033,-0.098,0.994
1610125508363,2021-01-08T10.05.08.363,1.633,0.031,-0.097,0.997
1610125508373,2021-01-08T10.05.08.373,1.643,0.032,-0.102,1.001
1610125508384,2021-01-08T10.05.08.384,1.654,0.035,-0.102,1.000
1610125508394,2021-01-08T10.05.08.394,1.664,0.033,-0.100,0.996
1610125508403,2021-01-08T10.05.08.403,1.673,0.032,-0.100,0.994
1610125508413,2021-01-08T10.05.08.413,1.683,0.033,-0.100,0.996
1610125508423,2021-01-08T10.05.08.423,1.693,0.035,-0.100,0.998
1610125508433,2021-01-08T10.05.08.433,1.703,0.031,-0.097,0.995
1610125508442,2021-01-08T10.05.08.442,1.712,0.031,-0.097,0.997
1610125508452,2021-01-08T10.05.08.452,1.722,0.032,-0.098,0.996
1610125508463,2021-01-08T10.05.08.463,1.733,0.032,-0.099,0.996
1610125508473,2021-01-08T10.05.08.473,1.743,0.031,-0.099,0.993
1610125508482,2021-01-08T10.05.08.482,1.752,0.031,-0.097,0.994
1610125508492,2021-01-08T10.05.08.492,1.762,0.034,-0.099,0.997
1610125508502,2021-01-08T10.05.08.502,1.772,0.032,-0.101,0.996
1610125508512,2021-01-08T10.05.08.512,1.782,0.033,-0.096,0.996
1610125508521,2021-01-08T10.05.08.521,1.791,0.032,-0.098,0.997
1610125508531,2021-01-08T10.05.08.531,1.801,0.033,-0.101,0.996
1610125508542,2021-01-08T10.05.08.542,1.812,0.034,-0.099,0.998
1610125508552,2021-01-08T10.05.08.552,1.822,0.034,-0.098,0.994
1610125508561,2021-01-08T10.05.08.561,1.831,0.032,-0.098,0.993
1610125508571,2021-01-08T10.05.08.571,1.841,0.032,-0.099,0.995
1610125508581,2021-01-08T10.05.08.581,1.851,0.032,-0.098,0.995
1610125508592,2021-01-08T10.05.08.592,1.862,0.031,-0.098,0.995
1610125508602,2021-01-08T10.05.08.602,1.872,0.033,-0.099,0.997
1610125508611,2021-01-08T10.05.08.611,1.881,0.033,-0.102,0.998
1610125508621,2021-01-08T10.05.08.621,1.891,0.032,-0.100,0.998
1610125508631,2021-01-08T10.05.08.631,1.901,0.032,-0.099,0.995
1610125508641,2021-01-08T10.05.08.641,1.911,0.034,-0.100,0.994
1610125508650,2021-01-08T10.05.08.650,1.920,0.033,-0.099,0.997
1610125508660,2021-01-08T10.05.08.660,1.930,0.033,-0.100,0.998
1610125508671,2021-01-08T10.05.08.671,1.941,0.031,-0.098,0.998
1610125508681,2021-01-08T10.05.08.681,1.951,0.031,-0.099,0.995
1610125508690,2021-01-08T10.05.08.690,1.960,0.033,-0.101,0.997
1610125508700,2021-01-08T10.05.08.700,1.970,0.031,-0.100,0.996
1610125508710,2021-01-08T10.05.08.710,1.980,0.031,-0.096,0.995
1610125508720,2021-01-08T10.05.08.720,1.990,0.031,-0.099,0.998
1610125508729,2021-01-08T10.05.08.729,1.999,0.031,-0.101,0.993
1610125508739,2021-01-08T10.05.08.739,2.009,0.029,-0.099,0.995
1610125508750,2021-01-08T10.05.08.750,2.020,0.034,-0.100,0.999
1610125508760,2021-01-08T10.05.08.760,2.030,0.035,-0.100,0.998
1610125508769,2021-01-08T10.05.08.769,2.039,0.031,-0.101,0.996
1610125508779,2021-01-08T10.05.08.779,2.049,0.033,-0.098,0.996
1610125508789,2021-01-08T10.05.08.789,2.059,0.033,-0.098,0.997
1610125508800,2021-01-08T10.05.08.800,2.070,0.034,-0.100,0.997
1610125508808,2021-01-08T10.05.08.808,2.078,0.032,-0.099,0.994
1610125508819,2021-01-08T10.05.08.819,2.089,0.032,-0.096,0.994
1610125508829,2021-01-08T10.05.08.829,2.099,0.034,-0.099,1.000
1610125508839,2021-01-08T10.05.08.839,2.109,0.032,-0.102,1.000
1610125508848,2021-01-08T10.05.08.848,2.118,0.031,-0.100,0.994
1610125508858,2021-01-08T10.05.08.858,2.128,0.032,-0.095,0.995
1610125508868,2021-01-08T10.05.08.868,2.138,0.033,-0.096,0.997
1610125508879,2021-01-08T10.05.08.879,2.149,0.032,-0.101,0.996
1610125508887,2021-01-08T10.05.08.887,2.157,0.032,-0.100,0.995
1610125508898,2021-01-08T10.05.08.898,2.168,0.033,-0.097,0.996
1610125508908,2021-01-08T10.05.08.908,2.178,0.034,-0.098,0.999
1610125508918,2021-01-08T10.05.08.918,2.188,0.034,-0.100,0.998
1610125508928,2021-01-08T10.05.08.928,2.198,0.031,-0.097,0.997
1610125508937,2021-01-08T10.05.08.937,2.207,0.030,-0.100,0.993
1610125508947,2021-01-08T10.05.08.947,2.217,0.033,-0.099,0.995
1610125508958,2021-01-08T10.05.08.958,2.228,0.033,-0.102,0.996
1610125508968,2021-01-08T10.05.08.968,2.238,0.031,-0.098,0.996
1610125508977,2021-01-08T10.05.08.977,2.247,0.031,-0.095,0.997
1610125508987,2021-01-08T10.05.08.987,2.257,0.032,-0.101,1.000
1610125508997,2021-01-08T10.05.08.997,2.267,0.031,-0.101,0.996
1610125509008,2021-01-08T10.05.09.008,2.278,0.034,-0.098,0.994
1610125509016,2021-01-08T10.05.09.016,2.286,0.033,-0.098,0.992
1610125509027,2021-01-08T10.05.09.027,2.297,0.034,-0.100,0.995
1610125509037,2021-01-08T10.05.09.037,2.307,0.033,-0.100,0.999
1610125509047,2021-01-08T10.05.09.047,2.317,0.033,-0.101,0.995
1610125509056,2021-01-08T10.05.09.056,2.326,0.032,-0.098,0.997
1610125509066,2021-01-08T10.05.09.066,2.336,0.036,-0.101,1.000
1610125509076,2021-01-08T10.05.09.076,2.346,0.032,-0.099,0.997
1610125509087,2021-01-08T10.05.09.087,2.357,0.031,-0.097,0.993
1610125509095,2021-01-08T10.05.09.095,2.365,0.032,-0.100,0.994
1610125509106,2021-01-08T10.05.09.106,2.376,0.031,-0.100,0.997
1610125509116,2021-01-08T10.05.09.116,2.386,0.030,-0.098,0.999
1610125509126,2021-01-08T10.05.09.126,2.396,0.030,-0.096,0.995
1610125509135,2021-01-08T10.05.09.135,2.405,0.031,-0.098,0.993
1610125509145,2021-01-08T10.05.09.145,2.415,0.032,-0.103,0.998
1610125509155,2021-01-08T10.05.09.155,2.425,0.032,-0.102,0.999
1610125509166,2021-01-08T10.05.09.166,2.436,0.032,-0.098,0.995
1610125509175,2021-01-08T10.05.09.175,2.445,0.032,-0.098,0.994
1610125509185,2021-01-08T10.05.09.185,2.455,0.034,-0.101,0.996
1610125509195,2021-01-08T10.05.09.195,2.465,0.031,-0.099,0.996
1610125509205,2021-01-08T10.05.09.205,2.475,0.031,-0.096,0.993
1610125509216,2021-01-08T10.05.09.216,2.486,0.031,-0.098,0.995
1610125509224,2021-01-08T10.05.09.224,2.494,0.033,-0.101,0.998
1610125509235,2021-01-08T10.05.09.235,2.505,0.034,-0.100,0.995
1610125509245,2021-01-08T10.05.09.245,2.515,0.032,-0.100,0.995
1610125509255,2021-01-08T10.05.09.255,2.525,0.032,-0.102,0.996
1610125509264,2021-01-08T10.05.09.264,2.534,0.032,-0.101,0.996
1610125509274,2021-01-08T10.05.09.274,2.544,0.034,-0.097,0.995
1610125509284,2021-01-08T10.05.09.284,2.554,0.033,-0.099,0.995
1610125509295,2021-01-08T10.05.09.295,2.565,0.032,-0.101,0.997
1610125509303,2021-01-08T10.05.09.303,2.573,0.033,-0.103,0.998
1610125509314,2021-01-08T10.05.09.314,2.584,0.032,-0.098,0.993
1610125509324,2021-01-08T10.05.09.324,2.594,0.030,-0.096,0.996
1610125509334,2021-01-08T10.05.09.334,2.604,0.032,-0.101,0.996
1610125509343,2021-01-08T10.05.09.343,2.613,0.032,-0.102,0.994
1610125509353,2021-01-08T10.05.09.353,2.623,0.031,-0.100,0.993
1610125509363,2021-01-08T10.05.09.363,2.633,0.032,-0.102,0.997
1610125509374,2021-01-08T10.05.09.374,2.644,0.033,-0.099,1.000
1610125509384,2021-01-08T10.05.09.384,2.654,0.032,-0.098,0.996
1610125509393,2021-01-08T10.05.09.393,2.663,0.033,-0.100,0.994
1610125509403,2021-01-08T10.05.09.403,2.673,0.034,-0.099,0.994
1610125509413,2021-01-08T10.05.09.413,2.683,0.033,-0.101,0.998
1610125509422,2021-01-08T10.05.09.422,2.692,0.034,-0.098,0.998
1610125509432,2021-01-08T10.05.09.432,2.702,0.033,-0.095,0.997
1610125509443,2021-01-08T10.05.09.443,2.713,0.032,-0.098,0.999
1610125509453,2021-01-08T10.05.09.453,2.723,0.033,-0.101,0.999
1610125509462,2021-01-08T10.05.09.462,2.732,0.032,-0.098,0.996
1610125509472,2021-01-08T10.05.09.472,2.742,0.031,-0.096,0.997
1610125509482,2021-01-08T10.05.09.482,2.752,0.033,-0.098,0.996
1610125509492,2021-01-08T10.05.09.492,2.762,0.036,-0.102,0.996
1610125509503,2021-01-08T10.05.09.503,2.773,0.033,-0.104,0.993
1610125509511,2021-01-08T10.05.09.511,2.781,0.031,-0.098,0.997
1610125509522,2021-01-08T10.05.09.522,2.792,0.032,-0.100,1.000
1610125509532,2021-01-08T10.05.09.532,2.802,0.034,-0.100,0.997
1610125509542,2021-01-08T10.05.09.542,2.812,0.032,-0.101,0.999
1610125509551,2021-01-08T10.05.09.551,2.821,0.031,-0.101,0.993
1610125509561,2021-01-08T10.05.09.561,2.831,0.035,-0.101,0.994
1610125509572,2021-01-08T10.05.09.572,2.842,0.031,-0.098,0.997
1610125509582,2021-01-08T10.05.09.582,2.852,0.030,-0.096,0.997
1610125509591,2021-01-08T10.05.09.591,2.861,0.032,-0.095,0.998
1610125509601,2021-01-08T10.05.09.601,2.871,0.034,-0.100,0.997
1610125509611,2021-01-08T10.05.09.611,2.881,0.032,-0.101,0.993
1610125509621,2021-01-08T10.05.09.621,2.891,0.033,-0.099,0.993
1610125509630,2021-01-08T10.05.09.630,2.900,0.033,-0.097,0.996
1610125509640,2021-01-08T10.05.09.640,2.910,0.035,-0.101,0.997
1610125509651,2021-01-08T10.05.09.651,2.921,0.032,-0.102,0.998
1610125509661,2021-01-08T10.05.09.661,2.931,0.033,-0.102,0.997
1610125509670,2021-01-08T10.05.09.670,2.940,0.033,-0.099,0.997
1610125509680,2021-01-08T10.05.09.680,2.950,0.033,-0.099,0.998
1610125509690,2021-01-08T10.05.09.690,2.960,0.034,-0.097,0.993
1610125509700,2021-01-08T10.05.09.700,2.970,0.034,-0.097,0.992
1610125509709,2021-01-08T10.05.09.709,2.979,0.034,-0.099,0.992
1610125509719,2021-01-08T10.05.09.719,2.989,0.032,-0.099,0.998
1610125509730,2021-01-08T10.05.09.730,3.000,0.033,-0.100,0.998
1610125509740,2021-01-08T10.05.09.740,3.010,0.034,-0.097,0.996
1610125509749,2021-01-08T10.05.09.749,3.019,0.034,-0.101,0.997
1610125509759,2021-01-08T10.05.09.759,3.029,0.036,-0.103,0.998
1610125509769,2021-01-08T10.05.09.769,3.039,0.034,-0.099,0.994
1610125509780,2021-01-08T10.05.09.780,3.050,0.032,-0.098,0.992
1610125509788,2021-01-08T10.05.09.788,3.058,0.031,-0.099,0.998
1610125509799,2021-01-08T10.05.09.799,3.069,0.032,-0.100,1.000
1610125509809,2021-01-08T10.05.09.809,3.079,0.031,-0.100,1.000
1610125509819,2021-01-08T10.05.09.819,3.089,0.031,-0.100,0.995
1610125509829,2021-01-08T10.05.09.829,3.099,0.034,-0.101,0.994
1610125509838,2021-01-08T10.05.09.838,3.108,0.035,-0.099,0.999
1610125509848,2021-01-08T10.05.09.848,3.118,0.033,-0.096,0.993
1610125509859,2021-01-08T10.05.09.859,3.129,0.033,-0.097,0.994
1610125509869,2021-01-08T10.05.09.869,3.139,0.034,-0.098,0.996
1610125509878,2021-01-08T10.05.09.878,3.148,0.032,-0.101,0.996
1610125509888,2021-01-08T10.05.09.888,3.158,0.033,-0.101,0.996
1610125509898,2021-01-08T10.05.09.898,3.168,0.034,-0.098,0.995
1610125509908,2021-01-08T10.05.09.908,3.178,0.032,-0.100,0.997
1610125509917,2021-01-08T10.05.09.917,3.187,0.032,-0.100,0.997
1610125509927,2021-01-08T10.05.09.927,3.197,0.030,-0.100,0.995
1610125509938,2021-01-08T10.05.09.938,3.208,0.033,-0.099,0.995
1610125509948,2021-01-08T10.05.09.948,3.218,0.032,-0.097,0.997
1610125509957,2021-01-08T10.05.09.957,3.227,0.031,-0.099,0.997
1610125509967,2021-01-08T10.05.09.967,3.237,0.032,-0.099,0.997
1610125509977,2021-01-08T10.05.09.977,3.247,0.032,-0.097,0.995
1610125509988,2021-01-08T10.05.09.988,3.258,0.029,-0.100,0.995
1610125509996,2021-01-08T10.05.09.996,3.266,0.031,-0.100,0.995
1610125510007,2021-01-08T10.05.10.007,3.277,0.032,-0.099,1.000
1610125510017,2021-01-08T10.05.10.017,3.287,0.032,-0.096,0.999
1610125510027,2021-01-08T10.05.10.027,3.297,0.033,-0.097,0.998
1610125510036,2021-01-08T10.05.10.036,3.306,0.032,-0.104,0.996
1610125510046,2021-01-08T10.05.10.046,3.316,0.034,-0.099,0.996
1610125510056,2021-01-08T10.05.10.056,3.326,0.032,-0.098,0.996
1610125510067,2021-01-08T10.05.10.067,3.337,0.034,-0.099,0.998
1610125510075,2021-01-08T10.05.10.075,3.345,0.033,-0.098,0.995
1610125510086,2021-01-08T10.05.10.086,3.356,0.034,-0.097,0.994
1610125510096,2021-01-08T10.05.10.096,3.366,0.032,-0.100,0.996
1610125510106,2021-01-08T10.05.10.106,3.376,0.035,-0.100,0.993
1610125510116,2021-01-08T10.05.10.116,3.386,0.033,-0.097,0.996
1610125510125,2021-01-08T10.05.10.125,3.395,0.033,-0.098,0.997
1610125510135,2021-01-08T10.05.10.135,3.405,0.033,-0.100,0.995
1610125510146,2021-01-08T10.05.10.146,3.416,0.033,-0.101,0.994
1610125510156,2021-01-08T10.05.10.156,3.426,0.033,-0.099,0.995
1610125510165,2021-01-08T10.05.10.165,3.435,0.034,-0.101,0.998
1610125510175,2021-01-08T10.05.10.175,3.445,0.036,-0.100,0.997
1610125510185,2021-01-08T10.05.10.185,3.455,0.033,-0.098,0.996
1610125510196,2021-01-08T10.05.10.196,3.466,0.032,-0.097,0.995
1610125510204,2021-01-08T10.05.10.204,3.474,0.031,-0.097,0.995
1610125510215,2021-01-08T10.05.10.215,3.485,0.030,-0.099,0.995
1610125510225,2021-01-08T10.05.10.225,3.495,0.031,-0.101,0.995
1610125510235,2021-01-08T10.05.10.235,3.505,0.033,-0.099,0.995
1610125510244,2021-01-08T10.05.10.244,3.514,0.032,-0.099,0.999
1610125510254,2021-01-08T10.05.10.254,3.524,0.031,-0.100,0.998
1610125510264,2021-01-08T10.05.10.264,3.534,0.030,-0.098,0.995
1610125510275,2021-01-08T10.05.10.275,3.545,0.030,-0.100,0.993
1610125510283,2021-01-08T10.05.10.283,3.553,0.034,-0.099,0.996
1610125510294,2021-01-08T10.05.10.294,3.564,0.037,-0.099,0.997
1610125510304,2021-01-08T10.05.10.304,3.574,0.033,-0.100,0.997
1610125510314,2021-01-08T10.05.10.314,3.584,0.032,-0.100,0.992
1610125510323,2021-01-08T10.05.10.323,3.593,0.031,-0.097,0.997
1610125510333,2021-01-08T10.05.10.333,3.603,0.033,-0.098,0.999
1610125510343,2021-01-08T10.05.10.343,3.613,0.034,-0.099,0.999
