epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1610049346471,2021-01-07T12.55.46.471,0.000,0.004,-0.007,1.006
1610049346472,2021-01-07T12.55.46.472,0.001,0.005,-0.004,0.999
1610049346474,2021-01-07T12.55.46.474,0.003,0.007,-0.006,0.999
1610049346475,2021-01-07T12.55.46.475,0.004,0.000,-0.007,1.000
1610049346477,2021-01-07T12.55.46.477,0.006,0.000,-0.007,0.998
1610049346477,2021-01-07T12.55.46.477,0.006,0.002,-0.005,1.000
1610049346478,2021-01-07T12.55.46.478,0.007,0.003,-0.005,0.999
1610049346480,2021-01-07T12.55.46.480,0.009,0.009,-0.001,0.996
1610049346481,2021-01-07T12.55.46.481,0.010,0.004,-0.008,0.995
1610049346482,2021-01-07T12.55.46.482,0.011,0.006,-0.001,1.003
1610049346484,2021-01-07T12.55.46.484,0.013,0.003,-0.002,1.002
1610049346485,2021-01-07T12.55.46.485,0.014,0.001,-0.003,0.995
1610049346487,2021-01-07T12.55.46.487,0.016,0.003,-0.004,1.000
1610049346487,2021-01-07T12.55.46.487,0.016,0.003,-0.005,1.002
1610049346488,2021-01-07T12.55.46.488,0.017,0.005,-0.001,0.998
1610049346490,2021-01-07T12.55.46.490,0.019,0.005,-0.003,1.003
1610049346491,2021-01-07T12.55.46.491,0.020,0.003,-0.002,1.002
1610049346493,2021-01-07T12.55.46.493,0.022,-0.000,-0.006,0.999
1610049346494,2021-01-07T12.55.46.494,0.023,0.003,-0.002,1.006
1610049346494,2021-01-07T12.55.46.494,0.023,0.007,-0.000,1.003
1610049346496,2021-01-07T12.55.46.496,0.025,0.000,-0.002,1.005
1610049346497,2021-01-07T12.55.46.497,0.026,-0.002,-0.001,0.996
1610049346499,2021-01-07T12.55.46.499,0.028,0.004,0.004,0.997
1610049346500,2021-01-07T12.55.46.500,0.029,0.005,-0.008,0.999
1610049346501,2021-01-07T12.55.46.501,0.030,0.005,-0.000,0.999
1610049346503,2021-01-07T12.55.46.503,0.032,0.008,-0.013,1.004
1610049346503,2021-01-07T12.55.46.503,0.032,0.005,-0.008,1.005
1610049346504,2021-01-07T12.55.46.504,0.033,0.001,-0.004,0.997
1610049346506,2021-01-07T12.55.46.506,0.035,0.000,-0.010,1.007
1610049346507,2021-01-07T12.55.46.507,0.036,0.000,-0.000,0.996
1610049346509,2021-01-07T12.55.46.509,0.038,-0.002,-0.003,1.000
1610049346510,2021-01-07T12.55.46.510,0.039,0.006,-0.004,1.000
1610049346512,2021-01-07T12.55.46.512,0.041,0.006,-0.001,1.002
1610049346512,2021-01-07T12.55.46.512,0.041,-0.000,-0.003,1.002
1610049346513,2021-01-07T12.55.46.513,0.042,0.004,-0.002,1.001
1610049346515,2021-01-07T12.55.46.515,0.044,0.003,-0.005,0.995
1610049346516,2021-01-07T12.55.46.516,0.045,-0.002,-0.007,0.996
1610049346518,2021-01-07T12.55.46.518,0.047,0.002,-0.003,0.999
1610049346519,2021-01-07T12.55.46.519,0.048,-0.001,0.000,0.999
1610049346521,2021-01-07T12.55.46.521,0.050,-0.001,-0.000,0.999
1610049346521,2021-01-07T12.55.46.521,0.050,0.007,-0.001,1.000
1610049346522,2021-01-07T12.55.46.522,0.051,0.001,-0.004,0.996
1610049346523,2021-01-07T12.55.46.523,0.052,0.006,-0.002,1.004
1610049346525,2021-01-07T12.55.46.525,0.054,0.006,-0.003,1.004
1610049346526,2021-01-07T12.55.46.526,0.055,0.006,-0.004,1.000
1610049346528,2021-01-07T12.55.46.528,0.057,0.006,-0.005,0.996
1610049346529,2021-01-07T12.55.46.529,0.058,0.002,0.003,0.995
1610049346529,2021-01-07T12.55.46.529,0.058,-0.003,0.000,1.001
1610049346531,2021-01-07T12.55.46.531,0.060,0.001,0.000,1.002
1610049346532,2021-01-07T12.55.46.532,0.061,0.007,-0.005,1.000
1610049346534,2021-01-07T12.55.46.534,0.063,0.011,-0.007,1.000
1610049346535,2021-01-07T12.55.46.535,0.064,0.000,-0.003,0.999
1610049346537,2021-01-07T12.55.46.537,0.066,0.004,-0.007,0.990
1610049346537,2021-01-07T12.55.46.537,0.066,0.004,-0.008,0.996
1610049346538,2021-01-07T12.55.46.538,0.067,0.001,-0.002,1.006
1610049346540,2021-01-07T12.55.46.540,0.069,0.011,-0.004,0.997
1610049346541,2021-01-07T12.55.46.541,0.070,0.001,-0.006,0.997
1610049346542,2021-01-07T12.55.46.542,0.071,0.006,-0.004,0.997
1610049346544,2021-01-07T12.55.46.544,0.073,0.004,-0.005,1.003
1610049346545,2021-01-07T12.55.46.545,0.074,0.004,-0.007,0.995
1610049346545,2021-01-07T12.55.46.545,0.074,0.002,-0.006,1.000
1610049346547,2021-01-07T12.55.46.547,0.076,0.004,-0.004,1.001
1610049346548,2021-01-07T12.55.46.548,0.077,0.000,-0.008,0.997
1610049346550,2021-01-07T12.55.46.550,0.079,0.004,-0.003,1.003
1610049346551,2021-01-07T12.55.46.551,0.080,0.002,0.002,1.003
1610049346553,2021-01-07T12.55.46.553,0.082,0.005,-0.004,1.000
1610049346554,2021-01-07T12.55.46.554,0.083,0.006,-0.005,1.003
1610049346554,2021-01-07T12.55.46.554,0.083,0.004,-0.005,1.000
1610049346556,2021-01-07T12.55.46.556,0.085,-0.002,-0.007,0.998
1610049346557,2021-01-07T12.55.46.557,0.086,0.006,-0.007,0.999
1610049346559,2021-01-07T12.55.46.559,0.088,-0.003,0.001,1.006
1610049346560,2021-01-07T12.55.46.560,0.089,0.005,-0.005,1.008
1610049346562,2021-01-07T12.55.46.562,0.091,-0.003,-0.006,1.001
1610049346563,2021-01-07T12.55.46.563,0.092,0.003,-0.005,0.995
1610049346563,2021-01-07T12.55.46.563,0.092,0.008,-0.008,0.993
1610049346564,2021-01-07T12.55.46.564,0.093,0.002,-0.009,1.006
1610049346566,2021-01-07T12.55.46.566,0.095,0.001,-0.005,1.000
1610049346567,2021-01-07T12.55.46.567,0.096,0.008,0.001,0.999
1610049346569,2021-01-07T12.55.46.569,0.098,0.005,-0.002,1.001
1610049346570,2021-01-07T12.55.46.570,0.099,0.002,-0.003,1.002
1610049346572,2021-01-07T12.55.46.572,0.101,0.009,-0.004,1.003
1610049346572,2021-01-07T12.55.46.572,0.101,0.004,-0.010,1.000
1610049346573,2021-01-07T12.55.46.573,0.102,-0.003,-0.005,0.999
1610049346575,2021-01-07T12.55.46.575,0.104,0.000,-0.000,0.994
1610049346576,2021-01-07T12.55.46.576,0.105,0.003,-0.005,1.001
1610049346578,2021-01-07T12.55.46.578,0.107,0.004,-0.002,0.999
1610049346579,2021-01-07T12.55.46.579,0.108,0.001,-0.006,1.000
1610049346581,2021-01-07T12.55.46.581,0.110,0.005,-0.009,1.001
1610049346581,2021-01-07T12.55.46.581,0.110,0.004,-0.000,1.005
1610049346582,2021-01-07T12.55.46.582,0.111,0.002,-0.003,1.005
1610049346584,2021-01-07T12.55.46.584,0.113,0.006,-0.005,1.001
1610049346585,2021-01-07T12.55.46.585,0.114,0.007,-0.002,1.003
1610049346586,2021-01-07T12.55.46.586,0.115,0.001,-0.007,0.996
1610049346588,2021-01-07T12.55.46.588,0.117,0.005,-0.006,1.002
1610049346589,2021-01-07T12.55.46.589,0.118,0.003,-0.004,0.999
