,yaw
0,0
1,0.0025744
2,0.010289
3,0.023116
4,0.041013
5,0.063918
6,0.091753
7,0.12442
8,0.16181
9,0.20379
10,0.25023
11,0.30095
12,0.35579
13,0.41455
14,0.47704
15,0.54304
16,0.61233
17,0.68467
18,0.7598
19,0.83747
20,0.91742
21,0.99937
22,1.083
23,1.1681
24,1.2544
25,1.3414
26,1.4291
27,1.5169
28,1.6047
29,1.6922
30,1.779
31,1.8648
32,1.9494
33,2.0324
34,2.1136
35,2.1927
36,2.2695
37,2.3436
38,2.4147
39,2.4828
40,2.5475
41,2.6085
42,2.6658
43,2.7191
44,2.7682
45,2.8129
46,2.8531
47,2.8887
48,2.9196
49,2.9455
50,2.9665
51,2.9824
52,2.9933
53,2.999
54,2.9996
55,2.9951
56,2.9854
57,2.9706
58,2.9507
59,2.9259
60,2.8962
61,2.8617
62,2.8225
63,2.7788
64,2.7307
65,2.6784
66,2.622
67,2.5618
68,2.4979
69,2.4306
70,2.3601
71,2.2867
72,2.2106
73,2.132
74,2.0512
75,1.9686
76,1.8843
77,1.7988
78,1.7122
79,1.6248
80,1.5371
81,1.4492
82,1.3615
83,1.2743
84,1.1878
85,1.1024
86,1.0184
87,0.93604
88,0.85561
89,0.77739
90,0.70166
91,0.62866
92,0.55865
93,0.49187
94,0.42856
95,0.36892
96,0.31317
97,0.26148
98,0.21405
99,0.17104
100,0.13258
101,0.09882
102,0.069868
103,0.045826
104,0.026774
105,0.01278
106,0.0038898
107,0.00013546
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,-9.66E-05
173,-0.0010572
174,-0.0030438
175,-0.0060497
176,-0.010065
177,-0.015075
178,-0.021063
179,-0.028008
180,-0.035888
181,-0.044673
182,-0.054336
183,-0.064841
184,-0.076154
185,-0.088234
186,-0.10104
187,-0.11453
188,-0.12866
189,-0.14338
190,-0.15863
191,-0.17437
192,-0.19054
193,-0.20708
194,-0.22395
195,-0.24107
196,-0.2584
197,-0.27587
198,-0.29342
199,-0.311
200,-0.32854
201,-0.34598
202,-0.36326
203,-0.38032
204,-0.39711
205,-0.41357
206,-0.42964
207,-0.44526
208,-0.46038
209,-0.47495
210,-0.48892
211,-0.50225
212,-0.51488
213,-0.52677
214,-0.53788
215,-0.54818
216,-0.55762
217,-0.56618
218,-0.57383
219,-0.58053
220,-0.58628
221,-0.59104
222,-0.5948
223,-0.59755
224,-0.59928
225,-0.59998
226,-0.59966
227,-0.5983
228,-0.59592
229,-0.59252
230,-0.58812
231,-0.58273
232,-0.57637
